year_id,team_id,games,ws_win,wins,team_name
1884,CHU,92,NA,41,Chicago/Pittsburgh (Union League)
1884,CL2,113,N,35,Cleveland Blues
1884,CL5,110,N,69,Columbus Buckeyes
1884,CN2,112,N,68,Cincinnati Red Stockings
1884,CNU,103,NA,69,Cincinnati Outlaw Reds
1884,DTN,114,N,28,Detroit Wolverines
1884,IN2,110,N,29,Indianapolis Hoosiers
1884,KCU,82,NA,16,Kansas City Cowboys
1884,LS2,110,N,68,Louisville Eclipse
1884,MLU,12,NA,8,Milwaukee Brewers
1884,NY1,116,N,62,New York Gothams
1884,NY4,112,N,75,New York Metropolitans
1884,PH4,108,N,61,Philadelphia Athletics
1884,PHI,113,N,39,Philadelphia Quakers
1884,PHU,67,NA,21,Philadelphia Keystones
1884,PRO,114,Y,84,Providence Grays
1884,PT1,110,N,30,Pittsburg Alleghenys
1884,RIC,45,N,12,Richmond Virginians
1884,SL4,110,N,67,St. Louis Browns
1884,SLU,113,NA,94,St. Louis Maroons
1884,SPU,9,NA,2,St. Paul White Caps
1884,TL1,109,N,46,Toledo Blue Stockings
1884,WIL,17,NA,2,Wilmington Quicksteps
1884,WS7,63,N,12,Washington Nationals
1884,WSU,112,NA,47,Washington Nationals
1885,BFN,112,N,38,Buffalo Bisons
1885,BL2,110,N,41,Baltimore Orioles
1885,BR3,112,N,53,Brooklyn Grays
1885,BSN,113,N,46,Boston Beaneaters
1885,CHN,113,N,87,Chicago White Stockings
1885,CN2,112,N,63,Cincinnati Red Stockings
1885,DTN,108,N,41,Detroit Wolverines
1885,LS2,112,N,53,Louisville Colonels
1885,NY1,112,N,85,New York Giants
1885,NY4,108,N,44,New York Metropolitans
1885,PH4,113,N,55,Philadelphia Athletics
1885,PHI,111,N,56,Philadelphia Quakers
1885,PRO,110,N,53,Providence Grays
1885,PT1,111,N,56,Pittsburg Alleghenys
1885,SL4,112,N,79,St. Louis Browns
1885,SL5,111,N,36,St. Louis Maroons
1886,BL2,139,N,48,Baltimore Orioles
1886,BR3,141,N,76,Brooklyn Grays
1886,BSN,118,N,56,Boston Beaneaters
1886,CHN,126,N,90,Chicago White Stockings
1886,CN2,141,N,65,Cincinnati Red Stockings
1886,DTN,126,N,87,Detroit Wolverines
1886,KCN,123,N,30,Kansas City Cowboys
1886,LS2,138,N,66,Louisville Colonels
1886,NY1,124,N,75,New York Giants
1886,NY4,137,N,53,New York Metropolitans
1886,PH4,139,N,63,Philadelphia Athletics
1886,PHI,119,N,71,Philadelphia Quakers
1886,PT1,140,N,80,Pittsburg Alleghenys
1886,SL4,139,Y,93,St. Louis Browns
1886,SL5,126,N,43,St. Louis Maroons
1886,WS8,122,N,28,Washington Nationals
1887,BL2,141,N,77,Baltimore Orioles
1887,BR3,138,N,60,Brooklyn Grays
1887,BSN,127,N,61,Boston Beaneaters
1887,CHN,127,N,71,Chicago White Stockings
1887,CL3,133,N,39,Cleveland Blues
1887,CN2,135,N,81,Cincinnati Red Stockings
1887,DTN,127,Y,79,Detroit Wolverines
1887,IN3,127,N,37,Indianapolis Hoosiers
1887,LS2,137,N,76,Louisville Colonels
1887,NY1,129,N,68,New York Giants
1887,NY4,138,N,44,New York Metropolitans
1887,PH4,137,N,64,Philadelphia Athletics
1887,PHI,128,N,75,Philadelphia Quakers
1887,PIT,125,N,55,Pittsburg Alleghenys
1887,SL4,137,N,95,St. Louis Browns
1887,WS8,126,N,46,Washington Nationals
1888,BL2,137,N,57,Baltimore Orioles
1888,BR3,143,N,88,Brooklyn Bridegrooms
1888,BSN,137,N,70,Boston Beaneaters
1888,CHN,135,N,77,Chicago White Stockings
1888,CL3,135,N,50,Cleveland Blues
1888,CN2,137,N,80,Cincinnati Red Stockings
1888,DTN,134,N,68,Detroit Wolverines
1888,IN3,136,N,50,Indianapolis Hoosiers
1888,KC2,132,N,43,Kansas City Cowboys
1888,LS2,139,N,48,Louisville Colonels
1888,NY1,137,Y,84,New York Giants
1888,PH4,136,N,81,Philadelphia Athletics
1888,PHI,131,N,69,Philadelphia Quakers
1888,PIT,138,N,66,Pittsburg Alleghenys
1888,SL4,137,N,92,St. Louis Browns
1888,WS8,136,N,48,Washington Nationals
1889,BL2,139,N,70,Baltimore Orioles
1889,BR3,138,N,93,Brooklyn Bridegrooms
1889,BSN,133,N,83,Boston Beaneaters
1889,CHN,136,N,67,Chicago White Stockings
1889,CL4,136,N,61,Cleveland Spiders
1889,CL6,139,N,60,Columbus Solons
1889,CN2,141,N,76,Cincinnati Red Stockings
1889,IN3,135,N,59,Indianapolis Hoosiers
1889,KC2,139,N,55,Kansas City Cowboys
1889,LS2,140,N,27,Louisville Colonels
1889,NY1,131,Y,83,New York Giants
1889,PH4,138,N,75,Philadelphia Athletics
1889,PHI,130,N,63,Philadelphia Quakers
1889,PIT,134,N,61,Pittsburg Alleghenys
1889,SL4,140,N,90,St. Louis Browns
1889,WS8,127,N,41,Washington Nationals
1890,BFP,134,NA,36,Buffalo Bisons
1890,BL3,38,N,15,Baltimore Orioles
1890,BR4,100,N,26,Brooklyn Gladiators
1890,BRO,129,N,86,Brooklyn Bridegrooms
1890,BRP,133,NA,76,Brooklyn Ward's Wonders
1890,BSN,134,N,76,Boston Beaneaters
1890,BSP,133,NA,81,Boston Reds
1890,CHN,139,N,83,Chicago Colts
